"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"A2ML1","HGNC:23336","https://search.clinicalgenome.org/kb/genes/HGNC:23336","Noonan syndrome","MONDO:0018997","https://search.clinicalgenome.org/kb/conditions/MONDO:0018997","Autosomal dominant inheritance","","","","","disputing (06/07/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d910a9d8-516e-443d-acba-8d61f7574792-2018-06-07T160000.000Z","RASopathy","","",""
"A4GALT","HGNC:18149","https://search.clinicalgenome.org/kb/genes/HGNC:18149","A4GALT-congenital disorder of glycosylation","MONDO:0100587","https://search.clinicalgenome.org/kb/conditions/MONDO:0100587","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (12/11/2014)","0 - No Evidence for Triplosensitivity (12/11/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18149","Dosage Working Group","definitive evidence (05/30/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7e3a8df0-77f1-4395-b501-63a96016e515-2025-05-30T170000.000Z","Congenital Disorders of Glycosylation","","",""
"AAGAB","HGNC:25662","https://search.clinicalgenome.org/kb/genes/HGNC:25662","palmoplantar keratoderma, punctate type 1A","MONDO:0007858","https://search.clinicalgenome.org/kb/conditions/MONDO:0007858","N/A","3 - Sufficient Evidence for Haploinsufficiency (02/28/2013)","0 - No Evidence for Triplosensitivity (02/28/2013)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25662","Dosage Working Group","","","","","",""
"AARS1","HGNC:20","https://search.clinicalgenome.org/kb/genes/HGNC:20","Charcot-Marie-Tooth disease axonal type 2N","MONDO:0013212","https://search.clinicalgenome.org/kb/conditions/MONDO:0013212","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (01/11/2018)","0 - No Evidence for Triplosensitivity (01/11/2018)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:20","Dosage Working Group","definitive evidence (03/14/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92de3832-c272-4993-8586-288c6331dec2-2024-03-14T160000.000Z","Charcot-Marie-Tooth","","",""
"AARS1","HGNC:20","https://search.clinicalgenome.org/kb/genes/HGNC:20","AARS1-related leukoencephalopathy","MONDO:1010132","https://search.clinicalgenome.org/kb/conditions/MONDO:1010132","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (01/11/2018)","0 - No Evidence for Triplosensitivity (01/11/2018)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:20","Dosage Working Group","limited evidence (08/27/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3cfbfccc-95a9-4271-b8a2-8b6d2bcc1b27-2025-08-27T170000.000Z","Leukodystrophy and Leukoencephalopathy","","",""
"AARS2","HGNC:21022","https://search.clinicalgenome.org/kb/genes/HGNC:21022","mitochondrial disease","MONDO:0044970","https://search.clinicalgenome.org/kb/conditions/MONDO:0044970","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (06/27/2025)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21022","Dosage Working Group","definitive evidence (04/18/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_583e237c-18f6-4427-a04f-82ea0f020daf-2022-04-18T160000.000Z","Mitochondrial Diseases","","",""
"AARS2","HGNC:21022","https://search.clinicalgenome.org/kb/genes/HGNC:21022","leukoencephalopathy, progressive, with ovarian failure","MONDO:0014387","https://search.clinicalgenome.org/kb/conditions/MONDO:0014387","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (06/27/2025)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21022","Dosage Working Group","","","","","",""
"AASS","HGNC:17366","https://search.clinicalgenome.org/kb/genes/HGNC:17366","hyperlysinemia","MONDO:0009388","https://search.clinicalgenome.org/kb/conditions/MONDO:0009388","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (10/08/2025)","0 - No Evidence for Triplosensitivity (10/08/2025)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17366","Dosage Working Group","definitive evidence (10/14/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92e04f9e-f03e-4295-baac-e9fb6b48a258-2022-10-14T160000.000Z","Aminoacidopathy","","",""
"ABAT","HGNC:23","https://search.clinicalgenome.org/kb/genes/HGNC:23","genetic developmental and epileptic encephalopathy","MONDO:0100062","https://search.clinicalgenome.org/kb/conditions/MONDO:0100062","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23","Dosage Working Group","moderate evidence (04/19/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z","Epilepsy","","",""
"ABAT","HGNC:23","https://search.clinicalgenome.org/kb/genes/HGNC:23","GABA aminotransaminase deficiency","MONDO:0013166","https://search.clinicalgenome.org/kb/conditions/MONDO:0013166","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23","Dosage Working Group","","","","","",""
